Transfer Size (MB),GPU0 to CPU0 (coherence),GPU0 to CPU0 (prefetch)
0.001953,0.71,31.38
0.00293,1.16,17.49
0.003906,69.58,14.05
0.005859,103.87,14.8
0.007812,142.06,15.54
0.011719,213.98,18.96
0.015625,287.04,21.32
0.023438,420.89,26.92
0.03125,562.61,31.76
0.046875,886.56,43.25
0.0625,1121.32,51.25
0.09375,1167.54,70.01
0.125,1609.41,85.64
0.1875,2023.61,119.75
0.25,2135,146.46
0.375,2673.61,204.06
0.5,2635.12,255.47
0.75,3516.77,358.69
1,2758.89,451.25
1.5,3638.21,624.04
2,3022.99,790.9
3,4511.68,1107.01
4,5362.51,1387.79
6,6987.84,1968.33
8,8251.82,2079.76
12,10003.57,3618.4
16,10422.14,4585.28
24,12172.58,6366.55
32,13942.76,7921.25
48,15162.1,10829.73
64,13574.96,13393.68
96,15089.81,17492.12
128,16355.54,16703.83
192,18934.04,20039.19
256,20225.7,22107.2
384,22117.75,24820.02
512,24049.34,26453.41
768,24810.86,28508.66
1024,25002.57,29679.77
1536,25151.14,31216.61
2048,25285.22,31582.83
3072,25165.97,32305.17
4096,25119.31,32371.54
6144,25625.61,33532.8
8192,25465.51,34340.31
12288,26301.45,35258.03