Transfer Size (MB),CPU0 to GPU0 (coherence),CPU0 to GPU0 (prefetch)
0.001953,51.82,61.78
0.00293,70.83,25.97
0.003906,80.04,18.92
0.005859,189.32,15.26
0.007812,254.5,20.33
0.011719,335.35,24.42
0.015625,427.2,27.24
0.023438,769.53,34.93
0.03125,1015.93,40.74
0.046875,1533.42,54.83
0.0625,1115.99,65.41
0.09375,1747.44,89.72
0.125,2348.87,108.4
0.1875,3574.63,151.07
0.25,3561.2,185.88
0.375,5198.3,259.23
0.5,5044.65,324.4
0.75,7105.7,459.68
1,8652.39,578.61
1.5,11785.41,818.38
2,12185.98,1039.09
3,12329.65,1474.26
4,12999.55,1884.92
6,12658.04,2677.65
8,13168.59,3385.17
12,14157.1,4788.57
16,14539.43,6072.83
24,18635.74,8610.44
32,17890,10891.96
48,20218.74,15413.59
64,20425.25,19481.19
96,22023.2,23612.91
128,22311.56,24594.97
192,21342.66,25831.51
256,21716.49,26432.91
384,22396.92,25277.26
512,23926.75,27682.65
768,24099.66,28124.73
1024,23743.94,28394.73
1536,23385.55,28639.37
2048,22177.19,28810.98
3072,20229.73,28896.94
4096,20421.9,28921.83
6144,19524.1,29100.98
8192,20743.29,29089.95
12288,20518.02,29136.56