Transfer Size (MB),GPU0 to GPU1 (coherence),GPU0 to GPU2 (coherence),GPU1 to GPU0 (coherence),GPU2 to GPU0 (coherence)
0.001953,62.04,54.83,33.86,40.95
0.00293,81.49,84.52,82.11,79.57
0.003906,108.56,115.91,110.67,106.96
0.005859,177.37,172.02,164.46,161.93
0.007812,234.88,235.03,224.81,213.15
0.011719,332.08,350.67,315.92,324.14
0.015625,447.25,447.43,451,438.67
0.023438,655.15,694.67,669.93,650.61
0.03125,844.98,877.96,906.45,864.33
0.046875,1093.29,1039.29,1034.75,1295.96
0.0625,909.65,646.78,815.39,797.07
0.09375,1269.47,1108.52,1180.88,1146.26
0.125,1779.13,1641.78,1607.3,1596.51
0.1875,2698.42,1916.47,2527.29,2264
0.25,3252.92,2224.91,3058.52,2968.2
0.375,4506.89,3166.37,4151.54,4088.35
0.5,5772.81,5154.05,5637.04,5005.21
0.75,8630.41,5501.68,7610.2,6883.2
1,10907.74,8176.55,8980.45,8272.46
1.5,16029.92,11456.15,14739.84,10362.19
2,13345.61,9168.68,11055.16,9746.07
3,12780.7,8908.69,11240.67,9452.87
4,15664.34,10054.72,14660.07,11144.02
6,16596.91,10721.96,15669.19,11942.1
8,17453.26,11649.89,16781.55,12210.7
12,18207.25,12445.69,16945.99,12590.63
16,18104.81,12065.9,17090.97,12659.02
24,23968.79,16311.87,24177.32,16521.61
32,25528.81,16802,25062.64,17045.67
48,33222.66,19667.74,33026.24,19611.29
64,30806.91,19032.87,31161.61,19101.74
96,37953.68,21263.35,37000.81,21441.78
128,38408.17,21554.77,38412.56,21614.9
192,40812.86,22463.61,41285.11,22535.81
256,39341.01,22549.8,38796.44,22608.15
384,36187.98,21936.69,36614.19,22048.35
512,37765.98,22022.94,37349.19,22157.35
768,35374.9,22059.99,34351.21,22072.49
1024,32185.64,21865.97,32308.11,21983.82
1536,30971.52,21350.68,30960.21,21319.94
2048,30675.44,21097.2,30344.67,21105.97
3072,27221.23,20841.42,27165,20816.52
4096,24824.4,20424.58,25093.01,20420.71
6144,22751.38,20140.33,23083.93,20120.21
8192,21849.05,19858.05,22086.04,19374.61
12288,21629.1,19727.17,21799.93,19259.75