Transfer Size (MB),GPU0 to CPU1 (pinned),GPU1 to CPU1 (pinned),GPU2 to CPU1 (pinned),GPU3 to CPU1 (pinned)
0.001953,198.21,194.75,197.17,205.83
0.00293,297.37,294.97,298.16,302.65
0.003906,391.6,393.38,397.62,346.73
0.005859,586.17,587.76,590.25,591.8
0.007812,779.54,782.5,786.76,794.11
0.011719,1177.41,1187.19,1181.56,1181.09
0.015625,1569.88,1565.63,1569.25,1568.62
0.023438,2325.15,2338.84,2366.47,2348.92
0.03125,3012.63,2936.75,3120.63,3147.66
0.046875,4112.56,4097.11,4175.95,4591.54
0.0625,4883.96,4880.14,5451.37,5500.31
0.09375,6607.7,6565.59,7343.73,7995.05
0.125,8002.05,8012.31,9637.63,9836.32
0.1875,10178.05,10157.65,12154.8,12898.12
0.25,11744.26,11802.47,14613.9,14796.4
0.375,11822.57,12804.32,16882.01,18203
0.5,14665.34,14133.48,19709.09,20764.12
0.75,16358.76,16620.5,23559.72,22988.51
1,17426.76,17435.58,23486.31,24383.11
1.5,18074.9,18149.7,25110.07,24779.46
2,18752.75,18763.31,26101.82,26580.9
3,17784.94,19412.83,27838.35,28266.95
4,19663.75,19719.98,28615.37,29128.41
6,20055.62,20048.65,30214.37,30295.07
8,20267.58,20240.2,30616.97,30652.28
12,20467.55,20450.66,30692.11,30738.89
16,20560.27,20556.15,30622.48,30740.85
24,20654.01,20655.63,31228.37,31168.55
32,20711.46,20702.49,31338.57,31397.85
48,20754.53,20761.25,31383.05,31376.42
64,20779.84,20768.96,31352.66,31422.59
96,20787.56,20792.2,31436.99,31360.12
128,20823.87,20822.09,31571.32,31313.36
192,20834.19,20829.91,31452.1,31450.1
256,20840.71,20841.8,31321.33,31187.43
384,20845.27,20836.75,30211,30117.41
512,20843.54,20846.55,30530.07,30514.75
768,20843.36,20833.92,30753.89,30712.11
1024,20475.21,20486.03,30882.87,30869.05
1536,20587.56,20467.31,30995.54,30995.55
2048,20466.83,20463.76,30838.09,31041.44
3072,20500.58,20475.82,31042.68,31078.76
4096,20467.82,20389.73,31029.29,31272.06
6144,20258.29,20236.18,30979.14,31061.62
8192,20090.15,20152.12,30838.43,31026.09
12288,20045.33,20035.6,30605.95,30795.22