Transfer Size (MB),Local (0 to 1),Remote (0 to 2),Local (1 to 0),Remote(2 to 0)
0.001953,72.21,64.23,55.66,54.03
0.00293,84.01,53.51,83.07,88.77
0.003906,108.38,84.9,120.6,109.92
0.005859,123.7,122.39,209.38,165.73
0.007812,283.75,266.98,170.84,255.1
0.011719,419.59,385.8,356.18,378.52
0.015625,481.96,455.22,336.83,539.93
0.023438,690.62,577.9,263.65,694.4
0.03125,1115.51,1067.72,1049.68,1012.87
0.046875,1679.87,1560.06,1604.81,1085.67
0.0625,965.76,940.12,925.79,875.57
0.09375,1502.69,799.31,1403.07,1556.12
0.125,1906.91,1828.02,1897.65,1727.4
0.1875,2664.98,2414.31,2930.05,2524.13
0.25,3257.07,2643.68,2825.34,2671.54
0.375,4853.74,4004.01,4579.93,4082.34
0.5,6364.16,4842.33,6314.17,4384.31
0.75,7516.91,5801.32,7352.44,5381.32
1,8432.2,6414.04,7611.57,6489.08
1.5,11458.6,7498.16,11636.39,7949.08
2,12668.97,7929.55,11940.87,7958.87
3,12454.28,6957.51,12131.06,7549.79
4,12890.46,7552.07,12996,7888.74
6,12901.26,7398.57,12671.84,8314.44
8,11731.99,7198.19,12561.65,7834.07
12,12315.94,7697.58,13197.39,8163.73
16,12325.52,7845.19,13349.7,8577.64
24,18455.82,9401.54,19355.04,11897.3
32,18916.86,10213.65,18791.87,11543.08
48,21738.13,10288.29,21833.88,12887.52
64,21945.62,9841.91,22030.49,11746.35
96,22254.92,11187.77,22692.08,13684.21
128,22168.48,10959.31,23577.65,12871.69
192,23542.18,12041.81,24323.72,14939.84
256,25425.74,13027.37,24988.77,15397.33
384,26611.02,13468.14,26408.52,16348.05
512,26283.76,13450.53,26176.5,13597.06
768,26788.96,13520.73,26616.99,16053.74
1024,25721.26,14274.41,25566.66,16326.64
1536,23205.82,15138.38,23497.07,14566.96
2048,21254.63,15378.25,21397.43,13904.8
3072,19458.64,16236.38,19282.51,12986.35
4096,18389.47,16446.02,18679.64,12623.73
6144,17862.37,16434.32,18193.63,12089.13
8192,19174.29,16459.45,18530.25,12446.06
12288,18232.97,16751.58,18135.9,12399.41