Transfer Size (MB),Minsky,Hal
0.001953,166.82,115.96
0.00293,163.22,173.67
0.003906,338.17,234.15
0.005859,499.01,332.13
0.007812,659.95,431.84
0.011719,960.87,635.68
0.015625,1231.96,829.22
0.023438,1624.22,1159.01
0.03125,2785.45,1944.86
0.046875,4171.49,2878.77
0.0625,5365.73,3625.5
0.09375,7419.87,5375.88
0.125,8883.52,6754.93
0.1875,11949.53,9463.01
0.25,13703.89,11720.03
0.375,16619.39,15381.46
0.5,18645.58,18482.24
0.75,21441.44,22840.09
1,22854.53,25813.78
1.5,24399.77,30192.63
2,25763.57,32611
3,27289.6,36367.6
4,28313.37,38114.11
6,29355.36,41704.61
8,29877.5,47372.04
12,29521.46,55236.67
16,29573.28,58089.3
24,29542.75,59943.2
32,29417.66,60553.42
48,29770.77,61503.92
64,30605.61,62191.11
96,31470.08,63142.44
128,31128.4,63730.55
192,30545.71,64186.46
256,28292.57,64265.72
384,30213.95,67078.76
512,30144.28,67135.84
768,30072.31,67185.51
1024,28114.49,67207.72
1536,30008.32,67234.77
2048,29969.68,67245.91
3072,29947.88,67259.16
4096,29918.66,67264.07
6144,,67115.79
8192,,67035.12
12288,,66956.82