Transfer Size (MB),GPU1 to GPU0 (no peer),GPU2 to GPU0 (no peer),GPU3 to GPU0 (no peer),GPU0 to GPU1 (no peer),GPU2 to GPU1 (no peer),GPU3 to GPU1 (no peer),GPU0 to GPU2 (no peer),GPU1 to GPU2 (no peer),GPU3 to GPU2 (no peer),GPU0 to GPU3 (no peer),GPU1 to GPU3 (no peer),GPU2 to GPU3 (no peer)
0.001953,99.43,99.9,101.08,100.06,99.45,100.62,98.78,97.1,99.5,99.65,100.26,98.35
0.00293,150.7,151.9,149.77,150.91,149.8,149.89,148.97,144.12,145.97,150.35,149.79,149.05
0.003906,201.39,201.8,199.58,201.29,199.27,201.51,197.28,195.65,197.78,198.53,196.87,198.05
0.005859,303.19,304.83,298.04,302.94,297.51,301.5,296.33,293.28,295.97,296.03,297.64,295.33
0.007812,400.35,399.17,405.25,403.31,408.43,402.17,401.88,391.31,400.03,399.72,398.39,396.47
0.011719,603.87,603.1,602.26,594.59,602.17,600.78,600.13,595.68,596.8,594.89,596.95,597.38
0.015625,790.98,793.19,806.08,801.28,814.91,816.01,800.17,790.34,791.98,794.88,793.59,796.06
0.023438,1202.72,1207.12,1221.34,1211.87,1214.13,1214.69,1185.03,1180.79,1189.54,1188.15,1202.05,1196.65
0.03125,1599.2,1575.5,1605.03,1607.34,1620.43,1607.1,1570.51,1571.69,1577.88,1589.04,1602.56,1581.48
0.046875,2393.78,2327.46,2324,2443.57,2369.7,2387.08,2373.18,2346.45,2302.53,2373.42,2347.39,2282.69
0.0625,3074.88,2920.56,2938.41,3091.15,2865.26,2942.01,2916.34,3054.74,2879.26,3022.1,2955.92,2870.66
0.09375,4133.05,3768.84,3839.54,4103.92,3867.89,3863.59,4056.16,4065.83,3820.45,4056.86,4088.71,3823.72
0.125,5018.87,4173.48,4162.09,5022.5,4255.03,4161.53,4795.15,4767.9,4113.6,4795.52,4806.21,4106.03
0.1875,5812.33,5744.13,5633.85,5813.95,5947.09,5630.12,6343.46,6370.4,5646.06,5667.39,6170,5562.31
0.25,7294.37,6488.28,6473.5,7299.27,6470.82,6528.27,6919.65,7113.39,6424.09,6895.22,7211.68,6458.45
0.375,9249.44,7682.38,7947.27,8786.93,7769.44,7985.35,8718.29,8979.02,7650.25,8706.35,8746.97,7705.9
0.5,9749.82,8626.34,8335.97,9679.61,8430.42,8461.38,9661.46,9822.8,8253.55,9450.9,9639.3,8323.9
0.75,10941.72,9550.61,9579.89,11047.93,9519.7,9631.56,10795.41,10773.39,9422.82,10936.77,10792.76,9440.26
1,11600.52,9803.15,9727.72,11734.61,9823.28,9828.98,11474.86,11409.66,9712.79,11479.87,11601.47,9660.62
1.5,14293.47,12291.56,12410.95,14355.99,12400.28,12385.03,14193.26,14243.39,11695.18,13993.45,14027.61,12024.05
2,16410.53,13319.66,13336.45,16385.38,13367.64,13343.21,16252.63,16552.04,13262.86,16100.21,16163.71,13307.69
3,18942.86,14964.91,14992.95,18921,15016.07,15014.04,18581.49,18767.71,14800.42,18195.16,18250.06,14796.99
4,19739.44,16103.71,16051.88,20300.55,16047.89,16114.09,20284.49,20013.51,15675.52,19440.5,19380.03,15726.48
6,21662.45,17099.28,17118.99,21666.99,17106.3,17162.03,21382.68,21670.12,16696.67,21225.04,21392.2,16660.74
8,22259.32,17722.25,17712.79,22602.13,17747.72,17745.01,22457.21,22704.37,17288.74,21991.86,22070.85,17253.5
12,23835.11,18428.25,18408.61,23128.38,18434.11,18465.12,22982.25,23729.91,17894.93,23098.87,22854.27,17902.73
16,24212.6,18802.4,18802.67,23530.1,18828.23,18778.84,24220.52,23646.53,18220.99,23118.35,23138.51,18211.29
24,24118.08,19151.63,19135.9,24469.42,19188.79,19143.79,24526.18,24174.91,18536.35,23777.18,23737.79,18532.42
32,24523.48,19360.21,19348.21,24512.34,19381.15,19386.54,24991.7,24683.89,18718.41,23997.23,24171.67,18721.61
48,24568.94,19537.58,19580.36,24694.67,19552.68,19556.48,24930.01,25077.92,18895.03,24296.98,24281.81,18918.13
64,24858.76,19664.98,19655.03,24769.99,19668.94,19649.79,24737.49,24785.87,19005.01,24270.34,24297.88,19017.17
96,24903.01,19750.73,19747.17,24815.56,19741.03,19764.77,24846.08,25345.9,19089.37,24171.03,24177.3,19084.48
128,25038.35,19813.33,19768.74,24706.42,19768.41,19776.36,25150.57,25002.07,19119.78,24330.44,24432.12,19117.86
192,24894.88,19861.24,19857,24906.52,19842.18,19858.7,25513.67,25384.06,19166.58,24507.26,24509.12,19168.78
256,24922.13,19873.07,19882.44,24937.74,19881.03,19877.27,25206.39,25555.96,19188.76,24531.01,24537.11,19190.48
384,24951.19,19902.9,19912.42,24999.85,19904.58,19898.67,25372.18,25388.63,19206.55,24496.45,24379.58,19209.12
512,25010.72,19918.59,19923.59,24999.15,19911.17,19922.9,25611.56,25176.46,19219.21,24459.95,24496.66,19231.77
768,25119.88,19911.58,19913.48,25005.04,19894.04,19904.89,25365.15,25565.99,19239.55,24539.68,24522.45,19243.15
1024,25258.7,19944.17,19945.18,25233.93,19943.71,19938.42,25810.77,25791.85,19249.34,24575.72,24466.8,19245.04
1536,25467.66,19953.06,19952.31,25874.52,19957.23,19956.48,25709.22,25711.74,19314.01,24509.52,24458.54,19292.48
2048,25714.9,19954.05,19955.81,25910.5,19960.41,19960.66,25880.1,25933.41,19283.72,24523.28,24616.53,19268.31
3072,25841.67,19915.98,19917.08,26208.41,19963.02,19919.29,25859.87,24859.19,19339.47,24577.11,24580.02,19295.96
4096,25917.4,19918.45,19963.1,26073.37,19965.07,19965.19,25948.93,25916.9,19295.08,24556.98,24580.16,19278
6144,25965.2,19965.78,19965.19,26027.9,19966.87,19966.76,25970.56,26012.81,19332.19,24597.93,24558.97,19286.64
8192,25928.71,19966.86,19966.36,26149.9,19967.57,19967.54,25943.78,25959.87,19356.63,24704.51,24571.74,19306.95
12288,25951.89,19966.26,19965.37,26354.55,19968.42,19968.36,25596.71,25616.2,19306.11,24622.37,24406.74,19310.63