Transfer Size (MB),GPU0 to GPU1 (coherence),GPU0 to GPU2 (coherence),GPU0 to GPU3 (coherence),GPU0 to GPU4 (coherence),GPU0 to GPU5 (coherence),GPU0 to GPU6 (coherence),GPU0 to GPU7 (coherence),GPU0 to CPU0 (coherence),GPU0 to CPU1 (coherence),GPU1 to GPU0 (coherence),GPU1 to GPU2 (coherence),GPU1 to GPU3 (coherence),GPU1 to GPU4 (coherence),GPU1 to GPU5 (coherence),GPU1 to GPU6 (coherence),GPU1 to GPU7 (coherence),GPU1 to CPU0 (coherence),GPU1 to CPU1 (coherence),GPU2 to GPU0 (coherence),GPU2 to GPU1 (coherence),GPU2 to GPU3 (coherence),GPU2 to GPU4 (coherence),GPU2 to GPU5 (coherence),GPU2 to GPU6 (coherence),GPU2 to GPU7 (coherence),GPU2 to CPU0 (coherence),GPU2 to CPU1 (coherence),GPU3 to GPU0 (coherence),GPU3 to GPU1 (coherence),GPU3 to GPU2 (coherence),GPU3 to GPU4 (coherence),GPU3 to GPU5 (coherence),GPU3 to GPU6 (coherence),GPU3 to GPU7 (coherence),GPU3 to CPU0 (coherence),GPU3 to CPU1 (coherence),GPU4 to GPU0 (coherence),GPU4 to GPU1 (coherence),GPU4 to GPU2 (coherence),GPU4 to GPU3 (coherence),GPU4 to GPU5 (coherence),GPU4 to GPU6 (coherence),GPU4 to GPU7 (coherence),GPU4 to CPU0 (coherence),GPU4 to CPU1 (coherence),GPU5 to GPU0 (coherence),GPU5 to GPU1 (coherence),GPU5 to GPU2 (coherence),GPU5 to GPU3 (coherence),GPU5 to GPU4 (coherence),GPU5 to GPU6 (coherence),GPU5 to GPU7 (coherence),GPU5 to CPU0 (coherence),GPU5 to CPU1 (coherence),GPU6 to GPU0 (coherence),GPU6 to GPU1 (coherence),GPU6 to GPU2 (coherence),GPU6 to GPU3 (coherence),GPU6 to GPU4 (coherence),GPU6 to GPU5 (coherence),GPU6 to GPU7 (coherence),GPU6 to CPU0 (coherence),GPU6 to CPU1 (coherence),GPU7 to GPU0 (coherence),GPU7 to GPU1 (coherence),GPU7 to GPU2 (coherence),GPU7 to GPU3 (coherence),GPU7 to GPU4 (coherence),GPU7 to GPU5 (coherence),GPU7 to GPU6 (coherence),GPU7 to CPU0 (coherence),GPU7 to CPU1 (coherence),CPU0 to GPU0 (coherence),CPU0 to GPU1 (coherence),CPU0 to GPU2 (coherence),CPU0 to GPU3 (coherence),CPU0 to GPU4 (coherence),CPU0 to GPU5 (coherence),CPU0 to GPU6 (coherence),CPU0 to GPU7 (coherence),CPU1 to GPU0 (coherence),CPU1 to GPU1 (coherence),CPU1 to GPU2 (coherence),CPU1 to GPU3 (coherence),CPU1 to GPU4 (coherence),CPU1 to GPU5 (coherence),CPU1 to GPU6 (coherence),CPU1 to GPU7 (coherence)
6,6869.6,6120.11,6217.55,6789.13,3116.43,2941.36,2961.78,1353.32,1347.64,6153.99,6095.71,6024.94,3084.43,6275.06,3129.1,3059.77,1394.16,1588.73,6143.56,6057.46,6312.69,3138.6,3005.07,5833.05,3098.25,1871.36,1882.31,6806.49,6087.6,6062.54,2940.98,2988.79,3057.1,6029.66,1775.52,1684.85,6206.39,2975.41,2806.48,2859.39,6549.52,6965.01,6178.95,1910.29,1342.86,2938.8,6119.98,2775.89,2879.39,5849.3,5894.58,6755.75,2046.62,1381.07,2868.3,2728.64,5946.64,2898.24,6801.28,5731.26,5937.41,1190.39,1423.64,2823.72,2986.18,2764.68,6042.45,5987.44,5912.03,5879.07,1344.09,1457.74,3996.48,3896.06,4054.19,3900.57,3632.13,3836.08,3453.02,3912.18,3803.46,3704.98,3716.31,3684.13,3901.14,4167.27,3927.05,3926.63
8,6571.77,6612.28,6112.21,6604.24,2995.89,3039.3,3161.87,2204.84,2027,6075.83,7034.18,5945.71,3109.31,6628.73,3105.12,3257.08,1947,1921.65,6623.03,6128.84,6594.45,3112.4,3035.81,6567.64,3109.29,1888.85,2602.54,6645.28,5782.67,6425.74,3096.3,3089.04,3056.82,6592.5,1890.91,1993.19,6012.52,2922.39,2957.57,3019.09,6498.2,6722.96,6159.47,1917.71,2230.57,2904.83,5896.9,2986.27,3043.34,5541.72,5150.49,5479.97,1882.45,2041.63,2914.52,3003.99,6612.79,3006.55,5426.65,5092.9,5087.82,1938.25,2163.03,2861.45,3037.69,3018.55,6542.15,6151.93,6675.78,6212.42,2457.86,2359.01,4013.16,4200.42,4006.28,4070.24,3669.6,3742.86,3782.89,3889.01,3955.03,3855.22,3765.38,3813.93,4103.85,4122.21,4041.76,4019.87
12,6238.1,6174.91,6042.59,6145.53,3240.05,3271.52,3190.27,3062.83,2779.47,6455.72,6445.84,6154.87,3191.85,6140.58,3188.62,3356,3006.08,2982.04,6089.11,6048.24,5983.62,3260.07,3250,6503.55,3204.91,3105.28,3081.17,6006.48,5764.01,5797.62,3361.78,3212.04,3191.18,6922.5,3186.65,2976.05,6271.05,3093.03,3065.78,3021.6,5315.64,5339.3,6152.77,2698.85,2768.38,3091.12,6058.46,3149.03,3297.02,6291.86,6046.4,6267.73,3449.81,2906.34,3037.86,3108.33,5843.34,3082.69,6141.67,6039.86,6188.38,2978.17,3105.3,3103.5,3122.21,3120.9,5956.19,5120.19,5102.26,4884.39,3625.44,2825.42,4140.04,4320,4280.83,4264.06,3973.09,4096.57,3861.46,3948.39,4063.38,3918.96,3626.82,4138.94,4224.33,4127.26,4529.26,4378.28
16,6091.05,6677.01,6464.96,7034.78,3566.35,3585.27,3681.49,4449.63,4046.17,6840.13,6585.43,6195.01,3638.42,6276.73,3742.64,3618.23,4241.95,4271.31,5957.53,6276.53,6191.57,3617.11,3627.97,6857.73,3592,4245.32,4141.24,5766.44,6008.76,6291.22,3595.6,3580.95,3454.56,6778.1,4126.38,3992.59,6445.01,3476.06,3530.03,3461.65,6480.77,6260.75,6175.87,3781.67,4127.59,3505.65,6745.94,3401.71,3605.49,5447.78,5582.11,5531.8,4585.77,4243.91,3467.54,3327.72,6402.86,3300.61,6220.76,6568.26,6524.05,3714.75,4150.96,3436.01,3366.29,3315.03,6647.44,6622.01,6166.8,6123.76,4178.42,4235.02,4699.88,4343.29,4644.32,4502.29,4351.11,4319.38,4360.89,4205.66,4482.15,4214.35,4225.89,4495.37,4676.2,4628.83,4473.61,4374.09
24,6893.7,6999.14,6772.6,6774.02,3939.59,3863.65,3990.65,5826,5751.2,6929.97,6871.85,6805.75,3886.98,7405.58,3991.59,3937.92,5814.25,7229.43,6841.61,7042.79,6932.75,3820.25,3876.54,7265.22,4051.66,5533.91,5756.21,6954.74,6933.81,7013.58,3785.49,3960.06,3833.32,7010.25,5555.23,5397.52,7053.13,3810.17,3726.84,3836.67,7343.11,7139.92,7178.85,5438.35,5794.41,3830.44,7195.05,3855.28,3591.62,6667.25,6989.53,6982.9,5733.05,5832.4,3796.97,3792.57,6928.4,3755.69,6790.82,7208.11,7064.08,6087.1,6565.51,3911.08,3927,3680.54,7006.61,6924.12,7541.31,7090.83,6019.05,5906.44,5041.91,4773.05,4394.14,4718.76,4379.88,4602.64,4575.89,4600.41,4737.85,4494.29,4648.35,4566.96,4813.54,4755.47,4587.61,4715.06
32,7467.67,7012.51,7430.79,7483.18,4478.11,4230.57,4348.83,8491.1,6717.49,7311.81,7717.87,7590.91,4161.07,7829.77,4189.54,4391.66,7169.69,6819.86,7264.55,7625.09,7520.33,4246.62,4170.74,7691.54,4364.29,6953.66,6689.07,7358.16,7601.91,7004.07,4216.93,4298.58,4308,7689.68,6382.78,6557.76,7791.71,3999.05,4038.4,4074.95,7771.87,7575.5,7940.54,7374.25,6470.83,4088.07,6997.94,4222.41,4077.84,7489.3,7697.67,7629.78,6471.33,6837.59,4091.61,4020.03,7611.73,4308.3,7812.32,7761.31,7216.77,6647.9,6328.36,4065.21,4088.44,4336.53,7785.62,7575.46,8179.35,7697.76,6808.33,7034.96,4906.44,4909.84,4909.33,4969.15,4747.07,4956.32,5022.31,4860.56,4955.65,4650.73,4880.07,4914.34,4927.19,5113.89,5277.75,5001.75
48,7508.43,7939.9,7665.61,7564.68,4507.7,4458.22,4484.71,6911.69,9674.4,7929.7,7767.22,7797.66,4335.87,8212.8,4546.12,4569.35,9494.71,9964.36,8530.38,7743.81,7734.39,4486.11,4457.86,7938.16,4600.11,8649.41,7292.16,7974.33,7793.24,7971.34,4426.95,4427.89,4311.24,7645.83,8261.38,8615.06,7740.16,4314.69,4424.18,4275.25,6561.14,6242.95,7549.86,10029.49,7426.12,4451.83,7777.02,4621.71,4515.73,8017.07,8126.56,7596.27,10212.29,7406.22,4364.6,4470.52,8264.07,4349.34,7997.68,8018.77,7942.81,7713.57,8068.95,4391.86,4273.85,4350.84,7612.36,8002.11,8155.43,7943.59,10192.91,10142.61,5405.68,5264.62,5338.36,5383.08,5259.9,5297.21,5411.19,5592.6,5395.3,5245.48,5264.34,5262.68,5181.22,5566.29,5309.9,5453.54
64,8338.65,8309.72,8447.97,8284.43,4632.09,4727.63,4762.63,9262.64,10350.68,8927.38,8384.45,8408.27,4668.94,8785.43,4716.93,4636.12,10225.35,9315.11,8471.77,8411.18,8379.39,4869.3,4826.47,8336.16,4774.58,10316.41,10000.07,8633.33,8535.45,8520.64,4521.47,4728.17,4749.56,9014.86,10376.2,10142.21,8470.58,4522.91,4481.42,4603.45,8530.46,8587.72,8468.52,10412.1,10223.63,4596.03,8552.09,4567.19,4774.81,8276.93,8614.39,8544.26,10373.08,9324.67,4767.64,4567.03,8530.89,4773.13,8513.86,8685,8472.3,10297.17,10405.03,4704.5,4602.23,4596.65,8301.96,8416.49,8418.19,8485.74,10301.31,10315.31,5629.62,5580.94,5544.44,5544.71,5511.36,5380.98,5474.63,5449.86,5308.43,5512.54,5519.07,5445.39,5472.12,5674.59,5603.02,5724.04
96,9819.14,9996.2,10019.91,10223.96,5690.61,5607.58,5710.37,10609.6,10624.23,9765.36,9863.17,9842.95,5730.1,10191.28,5799.36,5514.38,10651.17,10621.77,9957.73,9838.43,9967.08,5556.08,5757.02,10055.37,5738.97,10549.55,10462.74,9962.48,9819.28,10155.57,5605.86,5741.43,5796.32,10027.55,10569.75,10407.4,9885.37,5478.98,5532.93,5524.39,9989.65,10084.11,10194.19,10537.67,10581.13,5503.41,9796.1,5550.9,5699.89,9835.65,10182.14,9877.22,10588.32,10598.64,5609.72,5696.29,10080,5660.97,10089.52,9962.48,9989.88,10564.75,10518.64,5780.29,5555.58,5555.18,9915.95,8051.36,9221.68,10059.45,10551.97,10563.1,6402.95,6333.62,6585.56,6383.69,6263.31,6395.23,6415.1,6420.38,6409.77,6429.28,6216.53,6261,6612.36,6615.63,6639.99,6465.52
128,10948.09,10766.76,10944.53,11096.78,6027.42,6089.85,5950.02,10703.29,10658.1,10910.94,10868.24,10875.02,5985.47,10739.56,5977.64,6002.33,10665.47,10647.85,10964.31,10943.98,10781.61,6127.96,6091.01,11171.77,5937.4,10725.54,10637.44,10955.77,10668.72,10937.28,6069.37,6093.65,6071.33,11121.09,10717.75,10709.27,11011.6,5817.09,5914.98,5905.24,10900.06,10940.68,10966.42,10623.67,10717.79,5775.11,10748.71,5839.56,5832.05,11041.28,11053.4,10910.32,10647.31,10731.18,5848.28,6019.09,10847.77,5885.13,10990.41,10909.78,11045.92,10670.28,10707.36,5825.88,5773.96,5996.38,10766.86,11107.3,10991.89,11145.19,10629.24,10660.45,6830.03,7000.47,6781.31,6791.68,6674.01,6740.66,6841.69,6722.57,6792.34,6847,6659.72,6738.66,6832.27,6936.43,6943.36,6884.81
192,12436.03,12359.08,12523.98,12500.49,6727.29,6643.17,6534.78,10950.98,10911.32,12346.76,12504.12,12811.08,6807.1,12548.52,6727.49,6722.44,10943.53,10937.57,12742.94,12271.63,12286.58,6735.4,6745.59,12616.33,6667.42,10931.96,10943.66,12524.6,12472.78,12637.89,6735.76,6724.27,6721.87,12737.56,10945.47,10919.32,12535.98,6529.63,6545.95,6553.96,12540.29,12534.96,12695.61,10921.87,10948.68,6487.8,12436.46,6585.42,6509.43,12494.91,12217.76,12553.05,10909,10919.2,6539.1,6571.07,12485.52,6589.74,12474.62,12427.07,12394.58,10908.55,10909.76,6477.09,6626.66,6624.17,12669.1,12479,12574.4,12432.07,10892.92,10895.25,7479.94,7547.6,7579.12,7628.69,7335.77,7433.18,7374.27,7293.56,7503.41,7515.09,7335.74,7461.93,7605.27,7651.06,7618.5,7631.85
256,13261.22,13078.09,13001.79,12975.29,6856.09,6858.57,6758.04,11016.35,11014.3,13059.95,13116.27,13047.74,6961.32,13026.15,6875.8,7017.56,11018.24,10989.37,13095.28,13094.58,13030.8,7110.86,7086.39,13089.35,6957.92,11008.56,10966.39,13247.11,12989.79,13010.89,7000.06,6976.84,6939.71,13119.6,11028.94,10990.82,13114.96,6829.2,6769.1,6814.72,13156,13209.71,13075.84,10956.44,11018.04,6829.24,13141.6,6781.78,6822.98,13328.25,12969.16,13172.16,10979.1,11017.05,6824.57,6784.24,13026.35,6801.95,13112.04,13142.12,13228.74,11012.57,11021.85,6779.1,6823.78,6792.89,13076.45,13050.08,13025.26,13016.82,10934.87,10982.46,7955.18,7771.78,7783.39,7765.71,7583.2,7584.39,7491,7728.5,7651.54,7694.54,7430.56,7620.84,7811.43,7893.83,7910.52,7778.53
384,13337.05,13296.44,13261.46,13333.19,6961.93,7027.21,7075.85,11115.84,11090.29,13358.25,13175.39,13109.33,6969.74,13248.81,6974.75,7038.5,11093.75,11089.35,13268.03,13204.15,13270.58,7009.12,6883.24,13354.69,6899.59,11114.16,11078.73,13301.06,13155.37,13306.03,7026.25,6991.62,6973.01,13321.52,11106.08,11098.61,13230.11,6818.5,6774.99,6729.45,13314.16,13240.78,13398.3,11077.25,11110.24,6818.38,13272.03,6725.82,6815.3,13477.4,13411.37,13408.68,11091.29,11098.65,6875.31,6778.75,13241.78,6887.43,13351.42,13387.35,13399.08,11095.53,11093.31,6851.02,6746.43,6730.95,13294.02,13167.72,13268.82,13409.08,11070.37,11098.1,7700.85,7645.25,7628.84,7643.75,7283.95,7189.8,7386.32,7364.39,7179.32,7355.59,7273.63,7297.38,7662.27,7766.61,7774.63,7663.52
512,12884.25,12952.67,12862.39,12770.74,6667.46,6727.11,6699.01,11144.45,11133.41,12995.35,12776.47,12921.73,6771.12,12934.56,6762.11,6754.96,11142.79,11128.94,12866.65,12935.41,12925.29,6831.78,6784.35,12860.02,6732.85,11134.71,11113.72,12823,12801.57,12842.75,6755.52,6769.59,6776.63,12837.61,11116.36,11114.37,12762.28,6655.97,6690.08,6603.84,12856.74,12828.14,12925.3,11116.88,11106.22,6641.74,12783.22,6688.96,6724.7,12874.77,12870.13,12924.38,11128.85,11140,6623.93,6693.16,12822.32,6603.86,12882.09,12865.33,12815.07,11133.8,11142.38,6604.28,6631.69,6660.29,12837.54,12842.35,12872.33,12822.41,11113.2,11104.57,7379.54,7087,7376.25,7375.64,6977.45,6947.03,6998.42,7158.6,7036.94,7097.51,7123.92,7049.68,7382.48,7390.25,7363.57,7352.71
768,13369.29,13393.94,13344.65,13382.91,6849.78,6933.64,7000.76,11190.1,11190.69,13345.56,13326.54,13341.44,6901.49,13349.86,6926.98,6946.31,11182.75,11181.13,13412.16,13369.75,13370.68,6944.14,6910.47,13353.79,6942.66,11181.6,11173.72,13339.11,13409.4,13445.07,6869.84,6918.96,6856.47,13266.93,11189.2,11171.83,13291.33,6870.72,6888.83,6907.45,13386.28,13305.86,13335.06,11162.98,11177.13,6802.65,13273.79,6824.33,6787.5,13385.68,13241.43,13427.3,11174.6,11174.12,6813.61,6818,13337.16,6944.76,13391.34,13350.52,13464.84,11180.06,11199.31,6861.13,6870.21,6806.24,13326.82,13445.21,13414.08,13282.72,11171.44,11162.98,7585.61,7616.36,7662.91,7593.98,7280.93,7298.95,7425.74,7332.3,7233.07,7265.19,7259.52,7239.76,7590.64,7502.69,7601.47,7639.3
1024,13227.88,13234.31,13305.41,13287.35,6875.7,6862.59,6906.01,11216.33,11212.99,13165.32,13232.58,13164.88,6879.42,13217.45,6865.21,6900.88,11215.96,11205.34,13186.89,13258.21,13299.18,6872,6890.84,13264.26,6921.96,11222.26,11215.61,13175.56,13203.98,13208.53,6901.28,6971.72,6825.97,13239.6,11214.27,11209.76,13178.52,6907.46,6869.64,6853.39,13260.21,13247.67,13249.22,11188.86,11199.83,6832.68,13284.25,6834.37,6872.42,13198.21,13231.01,13333.68,11183.59,11211.69,6759.15,6789.6,13259.23,6866.02,13217.15,13245.31,13243.9,11213.97,11215.64,6849.15,6872.68,6828.68,13269.01,13150.94,13264.79,13171,11182.25,11201.77,7627.58,7673.6,7697.94,7675.67,7373.17,7283.47,7160.81,7175.66,7179.54,7309.73,7273.85,7282.22,7627.34,7608.87,7720.32,7618.96
1536,13428.73,13424.48,13455.08,13420.32,6963.92,6911.46,6917.06,11237.45,11236.84,13329.24,13393.28,13397.4,6918.66,13336.52,6844.06,6874.45,11233.29,11226.63,13362.96,13401.64,13436.67,6948.85,6905.82,13378.13,6878.8,11236.32,11238.5,13445.15,13436.77,13422.28,6953.91,6905.53,6945.59,13357.48,11228.08,11231.32,13357.91,6962.59,6905.05,6904.73,13374.46,13377.56,13367.72,11217.66,11227.21,6896.32,13360.1,6936.6,6937.11,13408.23,13426.24,13410.28,11223.29,11228.96,6897.34,6934.52,13371.87,6927.72,13409.03,13430.02,13409.77,11236.54,11244.4,6949.12,6854.71,6879.18,13366.66,13348.58,13334.86,13415.61,11203.8,11215.8,7691.18,7556.7,7726.68,7712.17,7415.76,7386.16,7384.15,7472.54,7308.13,7392.16,7313.01,7450.19,7732.07,7769.86,7773.3,7709.32
2048,13513.59,13544.85,13619.49,13585.4,6995.96,7019.28,7018.81,11247.64,11237.36,13484.03,13562.26,13570.76,6974.95,13490.41,6993.18,7010.69,11233.37,11234.11,13553.81,13550.73,13593.4,7000.77,7033.3,13480.56,6947.75,11247.53,11245.26,13513.32,13507.72,13545.9,7037.2,7033.33,7062.28,13486.67,11242.59,11234.39,13491.4,6934.98,6932.22,6886.48,13551.6,13519.11,13489.76,11221.22,11232,6943.82,13497.46,7021.78,7055,13530.58,13551.83,13521.91,11227.43,11237.67,7062.48,7051.4,13484.8,6989.07,13564.02,13567.85,13579.9,11239.43,11251.58,6952.98,7006.72,7049.42,13472.37,13539.41,13513.6,13476.81,11222.73,11232.02,7780.48,7775.55,7724.45,7768.11,7577.18,7500.8,7626.6,7506.05,7611.78,7529.03,7567.32,7520.5,7771.81,7772.47,7808.21,7813.05
3072,13632.99,13620.28,13664.76,13594.98,7075.51,7153.31,7100.46,11248.78,11257.3,13687.13,13612.08,13622.01,7087.26,13590.08,7098.82,7107.21,11252.71,11248.52,13626.83,13621.7,13644.31,7098.18,7164.16,13619.32,7109.34,11259.92,11249.36,13558.36,13602.3,13664.08,7079.77,7081.67,7115.04,13631.62,11254.83,11250.96,13572.31,7078.95,7049.73,7112.74,13630.6,13626.42,13626.08,11230.26,11239.97,7112.69,13597.43,7083.28,7105.33,13629.59,13609.36,13627.26,11238.78,11246.93,7091.58,7110.39,13607.71,7117.61,13662.95,13636.82,13655.51,11255.32,11263.3,7142.05,7106.63,7078.3,13561.58,13617.23,13622.29,13623.15,11226.89,11235.66,7873.05,7911.48,7923.71,7810.05,7637.63,7547.25,7667.17,7690.86,7588.29,7577.87,7534.24,7664.82,7878.78,7934.66,7939.87,7936.33
4096,13694.62,13668.25,13768.19,13631.47,7171.17,7232.58,7203.46,11261.99,11255.2,13689.52,13712.84,13707.75,7136.38,13584.89,7101.16,7109.75,11259.82,11251.72,13679.68,13678.73,13655.65,7153.08,7214.22,13636.12,7164.96,11261.84,11259.13,13672.21,13675.97,13711.12,7157.69,7157.22,7233.64,13633.85,11253.4,11256.23,13634.4,7116.32,7116.47,7123.04,13627.96,13703.73,13613.38,11241.02,11246.48,7109.39,13583.3,7082.77,7120.67,13668.76,13677.92,13656.79,11249.53,11255.82,7106.79,7091.58,13639.45,7177.86,13669.06,13809.88,13681.43,11263.9,11269.72,7229.64,7168.23,7201.67,13621.14,13635.66,13655.48,13711.42,11239.68,11246.41,7966.35,7723.09,7948.14,7961.5,7687.79,7761.53,7738.84,7813.86,7787.74,7765.32,7727.55,7631.4,7612.23,7593.25,7674.41,7713.31
6144,13834.62,13862.38,13759.34,13766.11,7230.84,7282.32,7238.63,11265.4,11266.41,13773.65,13808.26,13801.01,7256.89,13770.42,7241.55,7307.23,11262.64,11255.48,13809.49,13832.87,13812.93,7238.59,7270.37,13775.49,7216.96,11266.19,11265.88,13825.35,13847.79,13860.43,7289.96,7237.64,7270.56,13757.3,11263.84,11262.13,13760.26,7252.87,7238.17,7258.98,13782.82,13843.3,13814.46,11247.25,11255.15,7262.33,13799.99,7312.73,7324.41,13747.99,13794.31,13785.18,11256.4,11265.49,7298.79,7303.9,13746.84,7305.62,13798.42,13821.89,13889.31,11260.42,11269.74,7339.48,7281.03,7285.71,13793.42,13811.04,13732.13,13770.21,11239.45,11255.04,8032.67,7885.09,8052.67,8146.59,7947.37,7959.54,7995.51,7939.64,7898.64,7962.45,7978.57,7981.51,8145.56,8115.19,8260.2,8170.04
8192,13913.02,13924.21,13996.79,13891.18,7387.53,7383.06,7353.36,11269.68,11268.51,13925.46,13944.77,13908.59,7361.25,13851.9,7413.11,7323.67,11263.22,11263.4,13954.25,13939.64,14001.6,7306.16,7355.32,13911.45,7368.33,11271.64,11263.62,13907.59,14011.34,13924.01,7291.18,7417.3,7393.92,13828.02,11268.85,11263.18,13860.27,7313.31,7332.83,7289.85,13859.59,13880.54,13929.2,11245.53,11258.05,7375.32,13840.5,7375.34,7401.13,13813.03,13929.26,13894.35,11254.95,11264.89,7409.16,7364.88,13901.55,7404.24,13820.5,13863.26,13927.07,11265.02,11275.55,7384.93,7393.1,7376.31,13818.56,13887.12,13859.9,13953.83,11244.55,11251.94,8192.78,8260.43,8177.4,8225.15,8066.46,8075.39,8193.05,7923.87,8014.57,8019.49,8012.97,8012.1,8233.87,8086.62,8249.45,7905.99
12288,14000.77,14092.48,14108.83,13986.87,7444.67,7481.92,7377.41,11271.4,11268.52,14037.31,14067.5,14117.97,7469.44,14020.89,7515.64,7476.43,11260.99,11259.53,14044.69,14120.61,14052.66,7415.7,7464,14036.56,7491.78,11269.59,11262.3,14043.11,14044.09,14126.59,7491.12,7469,7484.4,13983.77,11270.24,11264.9,14086.75,7477.64,7473.05,7461.89,14054.26,14106.29,14036.95,11253.35,11262.98,7463.27,13968.24,7438.08,7446.52,14054.06,14116.33,14064.13,11264.44,11271.88,7526.25,7466.43,14001.28,7491.51,14105.51,14069.29,14079.98,11264.16,11275.42,7462.89,7456.19,7484.77,13957.26,14041.94,14017.87,14138.31,11246.83,11256.33,8335.44,8318.24,8249.59,8304.42,8118.14,8175.4,8226.04,8115.72,8218.28,8171.44,8117.89,8179.22,8313.69,8367.9,8324.59,8388.05