Transfer Size (MB),GPU1 to GPU0 (no peer),GPU2 to GPU0 (no peer),GPU3 to GPU0 (no peer),GPU0 to GPU1 (no peer),GPU2 to GPU1 (no peer),GPU3 to GPU1 (no peer),GPU0 to GPU2 (no peer),GPU1 to GPU2 (no peer),GPU3 to GPU2 (no peer),GPU0 to GPU3 (no peer),GPU1 to GPU3 (no peer),GPU2 to GPU3 (no peer)
0.001953,52.62,50.99,50.50,52.45,52.16,52.80,50.24,50.20,49.96,49.77,50.67,49.94
0.002930,81.35,77.61,76.98,80.81,75.90,76.89,74.87,75.20,75.45,75.65,76.88,75.96
0.003906,105.43,102.78,102.86,107.16,103.54,102.46,99.73,101.12,99.30,101.52,100.49,99.81
0.005859,163.10,152.93,154.00,157.34,153.52,153.67,150.07,152.14,149.98,151.99,151.99,148.60
0.007812,210.99,205.55,209.39,212.54,206.72,206.60,199.27,201.95,199.22,201.72,201.47,199.27
0.011719,318.79,307.93,309.50,318.05,305.49,313.72,297.94,299.77,300.03,303.43,301.54,300.85
0.015625,426.81,410.89,415.26,422.96,417.49,415.01,401.04,403.72,397.21,408.71,408.37,399.65
0.023438,643.25,615.69,615.58,645.06,613.87,620.12,601.27,607.00,600.72,610.56,614.92,605.26
0.031250,852.71,818.75,816.23,862.43,827.07,829.18,813.55,818.58,811.65,804.58,818.73,804.21
0.046875,1279.58,1232.74,1234.69,1276.55,1225.11,1240.57,1205.07,1208.03,1206.63,1208.09,1214.22,1202.20
0.062500,1698.23,1628.49,1664.80,1685.95,1639.56,1651.43,1575.74,1607.63,1597.61,1603.84,1620.64,1607.88
0.093750,2575.05,2466.33,2495.14,2621.50,2451.88,2489.25,2393.05,2425.99,2400.71,2399.60,2429.64,2371.74
0.125000,3383.04,3281.70,3269.51,3322.17,3335.74,3278.52,3215.10,3241.79,3147.27,3072.46,3065.30,3047.81
0.187500,5094.14,4538.96,4618.11,4950.76,4463.86,4468.33,4599.42,4625.97,4464.50,4502.02,4401.31,4257.59
0.250000,6476.68,5695.41,5688.41,5826.15,5716.64,5903.19,5722.00,6044.93,5282.62,5580.98,5828.32,5179.52
0.375000,8689.61,6817.07,6848.94,8571.43,6806.18,6836.95,7471.76,7908.22,6278.36,7268.29,7720.82,6037.38
0.500000,10621.35,8771.47,8755.34,10425.57,8711.41,8718.24,9385.97,9470.41,7742.93,9118.43,9171.79,7584.84
0.750000,12582.41,10410.02,10515.84,12478.99,10532.08,10412.04,10734.07,10891.66,9317.93,10404.38,10215.20,9000.36
1.000000,15610.37,12603.98,11569.66,15720.30,12690.52,11900.37,13084.55,12997.82,11144.05,12537.93,12544.69,10802.17
1.500000,19789.70,16051.54,16179.66,19645.34,16240.27,16286.11,16491.67,16480.08,13454.24,15706.64,15625.16,12609.28
2.000000,23742.82,17818.80,17609.66,23615.82,18089.23,17541.55,19270.05,19289.19,14846.49,18030.85,18022.73,14605.90
3.000000,27497.20,20675.54,19841.79,27548.46,19952.38,19778.74,22389.23,22481.85,17636.37,20990.32,20940.07,16873.75
4.000000,29314.12,22109.95,21960.16,29634.90,21984.42,22287.10,24498.70,24510.25,18788.52,22786.05,22403.82,18046.71
6.000000,32988.42,24234.30,23901.05,33503.27,24529.84,24177.17,26828.11,26942.80,20543.44,24450.28,24625.59,19618.55
8.000000,35032.56,25372.74,25320.22,35934.22,25452.98,24830.15,28219.89,28377.25,21712.64,25544.82,25626.90,19889.07
12.000000,36999.47,26867.70,26228.65,38003.31,26766.77,26227.44,29850.45,29875.49,22668.24,27171.39,26899.80,20557.03
16.000000,38671.82,27527.07,27062.36,38603.70,27461.68,27035.06,29907.27,30794.64,22991.74,27407.16,27491.13,21661.26
24.000000,40577.69,28148.53,27758.31,39802.51,28069.65,27748.23,31682.54,31707.32,23690.16,28318.02,28327.81,21783.13
32.000000,40070.88,28517.35,28099.09,40286.03,28421.78,28096.13,31998.78,31947.80,23894.31,28565.51,28737.00,21807.32
48.000000,40858.71,28996.66,28486.58,41239.35,28881.70,28404.22,32551.84,32514.20,24215.30,29131.09,28937.40,22079.51
64.000000,40235.02,29096.58,28713.26,41059.57,29057.93,28651.91,32742.35,32598.54,24257.38,29216.82,29101.39,22400.23
96.000000,40163.57,29532.38,28841.89,41408.78,29462.38,28778.21,33634.82,33439.29,24504.37,29288.79,29342.71,22456.17
128.000000,40876.81,29649.51,29135.39,40812.15,29664.73,29022.30,33853.86,33648.91,24578.35,29761.11,29858.75,22529.67
192.000000,40408.70,29812.49,29289.60,40322.73,29741.20,29169.64,33965.70,34034.39,24832.60,30013.52,29962.02,22783.82
256.000000,39680.81,29873.54,29334.56,40425.50,29847.43,29235.01,34184.78,34052.83,24818.54,30578.93,30364.48,22755.41
384.000000,42532.64,29925.58,29418.51,41439.65,29873.96,29323.72,34205.97,34217.19,24859.04,30675.95,30536.80,22812.69
512.000000,42619.43,29966.79,29432.88,41673.95,29894.32,29351.64,34260.01,34291.91,24852.51,30636.40,30624.28,22803.58
768.000000,42637.19,29974.02,29462.40,41491.06,29932.52,29376.98,34289.25,34273.97,24852.15,30681.81,30597.52,22775.43
1024.000000,42847.20,30001.99,29477.40,42132.94,29945.17,29414.35,34272.42,34267.18,24778.04,30677.57,30592.49,23036.32
1536.000000,43419.54,30012.61,29501.74,42970.29,29978.43,29444.95,34283.84,34256.13,24685.85,33084.07,33377.87,25091.45
2048.000000,43722.27,30029.15,29524.68,43159.98,29986.27,29462.16,34268.14,34273.18,24645.96,33669.26,34193.17,25073.89
3072.000000,43926.84,30035.84,29535.95,43576.96,30005.66,29472.15,34263.35,34270.53,24634.63,33620.75,34233.93,25099.76
4096.000000,44023.27,30043.78,29551.22,43679.73,30005.96,29489.66,34255.93,34276.81,24593.87,33556.11,34224.11,25165.33
6144.000000,44164.07,30041.32,29550.63,43935.84,30013.21,29486.54,34265.96,34256.18,24589.96,33521.58,34226.88,25267.03
8192.000000,44236.13,30047.79,29567.29,44029.06,30018.94,29485.85,34264.71,34272.78,24562.53,33533.43,34235.47,25250.80
12288.000000,44287.92,30050.99,29559.11,44150.40,30017.46,29497.50,34267.17,34253.54,24555.56,33515.85,34223.13,25303.63
