# Strides,GPU0 to CPU0,CPU0 to GPU0
4,116.27,164.45
5,142.8,180.08
6,182.52,210.47
7,205.1,230.48
8,228.05,257.69
9,261.51,276.43
10,271.91,302.63
11,291.97,325.45
12,302.52,349.91
13,365.49,369.11
14,370.67,393.16
15,385.27,426.65
16,425.51,451.73
17,466.83,470.55
18,429.69,497.85
19,478.23,505.41
20,523.06,547.82
21,533,564.45
22,534.04,591.2
23,608.26,615.33
24,602.85,632.46
25,680.26,659.14
26,659.03,684.02
27,677.67,703.77
28,697.81,727.65
29,730.87,750.13
30,773.08,769.06
31,775.17,798.85
32,816.08,823.05
33,833.52,843.95