# Strides,GPU0 to GPU1,GPU0 to GPU2
4,123.81,253.37
5,246.46,280.56
6,274.63,302.02
7,315.35,351.39
8,345.21,373.19
9,385.4,425.72
10,413.96,455.09
11,453.44,496.68
12,480.18,531.25
13,532.04,581.35
14,549.87,606.34
15,593.57,649.55
16,620.38,675.73
17,663.23,729.81
18,694.42,755.39
19,733.29,804
20,773.93,855.15
21,806.67,905.16
22,844.05,927.46
23,888.55,976.13
24,908.55,1012.14
25,956.14,1048.98
26,981.68,1078.25
27,1033,1119.42
28,1054.56,1151.83
29,1098.06,1200.18
30,1115.76,1219.87
31,1162.93,1274.49
32,1190.98,1296.36
33,1223.88,1350.19