# Strides,gpu2:cpu0 Traversal Time (us) [managed],cpu0:gpu2 Traversal Time (us) [managed]
4,121.86,120.4
5,113.45,132.43
6,130.64,156.25
7,151.97,164
8,192.81,198.82
9,204.13,231.66
10,206.26,278.4
11,227.85,297.13
12,244.17,313.64
13,286.9,279.9
14,282.38,311.71
15,304.97,397.48
16,344.91,334.3
17,342.57,358.8
18,358.59,341.41
19,421.27,347.07
20,436.4,406.4
21,418.3,430.28
22,435.24,457.9
23,456.62,447.89
24,473.46,500.21
25,498.59,596.86
26,564.44,497.47
27,602.44,536.24
28,550.37,555.42
29,572.03,537.19
30,587.13,591.13
31,609.16,600.93
32,626.77,562.02
33,709.57,575.71