# Strides,gpu0:gpu1 Traversal Time (us) [managed],gpu0:gpu2 Traversal Time (us) [managed]
4,63.85,218.87
5,191.41,258.33
6,221.55,294.95
7,244.67,334.04
8,268.51,351.2
9,319.19,407.33
10,311.85,408.97
11,332.48,437.49
12,374.24,477.68
13,399.46,514.64
14,437.93,553.22
15,459.35,588.75
16,458.68,638.49
17,489.81,658.05
18,501.69,720.49
19,558.7,778.97
20,557.22,767.88
21,619.49,840.28
22,616.96,848.06
23,703.15,882.06
24,662,884.19
25,703.53,923.59
26,773.35,979.96
27,712.92,1054.94
28,766.4,1028.52
29,774.59,1118.57
30,902.19,1076.26
31,883.2,1207.12
32,906.09,1200.83
33,949.12,1306.09